# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
150000 150
111 2.57833 7.23706 32.1949
112 2.60167 7.25293 32.9145
113 2.625 7.30096 33.6519
114 2.64833 7.36387 34.4089
115 2.67167 7.42926 35.1861
116 2.695 7.53343 35.9881
117 2.71833 7.63471 36.815
118 2.74167 7.73087 37.6667
119 2.765 7.83475 38.5447
120 2.78833 7.9452 39.4501
121 2.81167 8.04444 40.3822
122 2.835 8.11592 41.3383
123 2.85833 8.21162 42.3216
124 2.88167 8.28271 43.3298
125 2.905 8.34266 44.3617
126 2.92833 8.39114 45.4163
127 2.95167 8.40446 46.4896
128 2.975 8.40737 47.5802
129 2.99833 8.39292 48.6861
130 3.02167 8.37368 49.8068
131 3.045 8.33362 50.9393
132 3.06833 8.30097 52.0848
133 3.09167 8.22926 53.2377
134 3.115 8.16993 54.3996
135 3.13833 8.07936 55.566
136 3.16167 7.99786 56.7378
137 3.185 7.91057 57.914
138 3.20833 7.80959 59.0922
139 3.23167 7.7077 60.2721
140 3.255 7.62408 61.456
141 3.27833 7.53041 62.6423
142 3.30167 7.44349 63.8316
143 3.325 7.35742 65.0238
144 3.34833 7.26605 66.2178
145 3.37167 7.19232 67.4162
146 3.395 7.11552 68.6183
147 3.41833 7.06463 69.8283
148 3.44167 7.00703 71.0448
149 3.465 6.96503 72.2705
150 3.48833 6.92628 73.5058
400000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0.00146829 1.73684e-05
40 0.921667 0.0481873 0.000617368
41 0.945 0.625798 0.00880895
42 0.968333 3.42281 0.0558526
43 0.991667 10.3444 0.204962
44 1.015 20.6333 0.51654
45 1.03833 30.8509 1.00408
46 1.06167 37.8376 1.6292
47 1.085 40.5622 2.32912
48 1.10833 39.658 3.04318
49 1.13167 36.6144 3.73049
50 1.155 32.7265 4.37041
51 1.17833 28.6019 4.9525
52 1.20167 24.7688 5.47675
53 1.225 21.4445 5.94843
54 1.24833 18.6573 6.37459
55 1.27167 16.3553 6.76226
56 1.295 14.3953 7.11611
57 1.31833 12.8228 7.44277
58 1.34167 11.5595 7.74776
59 1.365 10.5248 8.03519
60 1.38833 9.69232 8.30902
61 1.41167 9.05099 8.57339
62 1.435 8.51881 8.83052
63 1.45833 8.10785 9.08326
64 1.48167 7.81407 9.3347
65 1.505 7.60273 9.5871
66 1.52833 7.45229 9.84225
67 1.55167 7.43041 10.1045
68 1.575 7.45976 10.3757
69 1.59833 7.55645 10.6586
70 1.62167 7.70439 10.9556
71 1.645 7.94261 11.2706
72 1.66833 8.28167 11.6085
73 1.69167 8.65684 11.9716
74 1.715 9.13307 12.3654
75 1.73833 9.66843 12.7936
76 1.76167 10.2582 13.2602
77 1.785 10.896 13.7691
78 1.80833 11.5526 14.3228
79 1.83167 12.2297 14.9242
80 1.855 12.8352 15.5715
81 1.87833 13.4 16.2645
82 1.90167 13.9232 17.0025
83 1.925 14.3352 17.7811
84 1.94833 14.6908 18.5985
85 1.97167 14.9567 19.4507
86 1.995 15.1972 20.3373
87 2.01833 15.4254 21.2583
88 2.04167 15.5515 22.2085
89 2.065 15.6771 23.1883
90 2.08833 15.6563 24.1891
91 2.11167 15.5906 25.2081
92 2.135 15.3938 26.2365
93 2.15833 15.0823 27.2664
94 2.18167 14.7015 28.292
95 2.205 14.2543 29.3078
96 2.22833 13.7503 30.3086
97 2.25167 13.226 31.2914
98 2.275 12.7104 32.2556
99 2.29833 12.2075 33.2008
100 2.32167 11.7009 34.1252
101 2.345 11.2712 35.0337
102 2.36833 10.8703 35.9273
103 2.39167 10.5377 36.8108
104 2.415 10.254 37.6874
105 2.43833 10.0106 38.5597
106 2.46167 9.8506 39.4347
107 2.485 9.73016 40.3154
108 2.50833 9.66721 41.2069
109 2.53167 9.64797 42.1132
110 2.555 9.66725 43.0382
111 2.57833 9.76214 43.9894
112 2.60167 9.87936 44.9695
113 2.625 10.0272 45.9823
114 2.64833 10.2309 47.034
115 2.67167 10.4204 48.1242
116 2.695 10.6849 49.2616
117 2.71833 10.937 50.4462
118 2.74167 11.1763 51.6775
119 2.765 11.4146 52.9566
120 2.78833 11.6629 54.2857
121 2.81167 11.8796 55.6622
122 2.835 12.0544 57.0823
123 2.85833 12.2237 58.546
124 2.88167 12.3459 60.0487
125 2.905 12.4328 61.5865
126 2.92833 12.4735 63.1543
127 2.95167 12.4916 64.7495
128 2.975 12.4666 66.3667
129 2.99833 12.4169 68.0029
130 3.02167 12.3459 69.6551
131 3.045 12.2262 71.3166
132 3.06833 12.0933 72.9854
133 3.09167 11.9726 74.6628
134 3.115 11.8252 76.3446
135 3.13833 11.677 78.0302
136 3.16167 11.5055 79.716
137 3.185 11.3531 81.404
138 3.20833 11.1711 83.0894
139 3.23167 11.0042 84.7739
140 3.255 10.8534 86.4593
141 3.27833 10.6959 88.1442
142 3.30167 10.5528 89.8303
143 3.325 10.4062 91.5166
144 3.34833 10.2686 93.204
145 3.37167 10.1704 94.8986
146 3.395 10.0704 96.5999
147 3.41833 10.0001 98.3126
148 3.44167 9.92629 100.036
149 3.465 9.89959 101.778
150 3.48833 9.87606 103.54
450000 150
1 0.0116667 0 0
2 0.035 0 0
